S no.,name,repo url,default branch,codacy integration,custom properties
258,engineering,https://github.com/octanner/engineering,main,no,SOC
259,entourage,https://github.com/octanner/entourage,master,no,SOC
260,epilog,https://github.com/octanner/epilog,master,no,SOC
261,eSmarts,https://github.com/octanner/eSmarts,master,no,SOC
262,eSmartsUI,https://github.com/octanner/eSmartsUI,master_dev,no,SOC
263,espy,https://github.com/octanner/espy,master,no,SOC
264,events-data-replicator,https://github.com/octanner/events-data-replicator,dev,no,SOC
265,events-publish-api,https://github.com/octanner/events-publish-api,master,yes,SOC
266,events-wiki,https://github.com/octanner/events-wiki,master,no,SOC
267,eventsgo,https://github.com/octanner/eventsgo,master,no,SOC
268,eventsgocass,https://github.com/octanner/eventsgocass,master,no,SOC
269,example-graphql-generate,https://github.com/octanner/example-graphql-generate,main,no,SOC
270,example-graphql-namespace,https://github.com/octanner/example-graphql-namespace,master,no,SOC
271,extrahop,https://github.com/octanner/extrahop,main,no,SOC
272,falco,https://github.com/octanner/falco,master,no,SOC
273,fed-graphql-poc,https://github.com/octanner/fed-graphql-poc,master,no,SOC
274,fix_identity_topic,https://github.com/octanner/fix_identity_topic,master,no,SOC
275,flashback,https://github.com/octanner/flashback,master,no,SOC
276,frontend-interview,https://github.com/octanner/frontend-interview,main,no,SOC
277,frontend-template,https://github.com/octanner/frontend-template,main,no,SOC
278,geofeed,https://github.com/octanner/geofeed,main,no,SOC
279,github-license-monitor,https://github.com/octanner/github-license-monitor,main,no,SOC
280,github-projects-archiver,https://github.com/octanner/github-projects-archiver,master,no,SOC
281,github-repo-manager,https://github.com/octanner/github-repo-manager,master,no,SOC
282,give-widget,https://github.com/octanner/give-widget,master,no,SOC
283,globalship,https://github.com/octanner/globalship,master,no,SOC
284,Gmail-addin,https://github.com/octanner/Gmail-addin,master,no,SOC
285,go-reverse-url,https://github.com/octanner/go-reverse-url,master,no,SOC
286,google-doc-addin,https://github.com/octanner/google-doc-addin,master,no,SOC
287,GoogleAuth,https://github.com/octanner/GoogleAuth,master,no,SOC
288,graphql-gateway,https://github.com/octanner/graphql-gateway,master,no,SOC
289,graphql-gateway-testing,https://github.com/octanner/graphql-gateway-testing,main,no,SOC
290,graphql-identity,https://github.com/octanner/graphql-identity,master,no,SOC
291,graphql-play-client-example,https://github.com/octanner/graphql-play-client-example,master,no,SOC
292,greatwork-ios,https://github.com/octanner/greatwork-ios,master,no,SOC
293,gwp-solution-program-api,https://github.com/octanner/gwp-solution-program-api,master,yes,SOC
294,gzip_file_upload,https://github.com/octanner/gzip_file_upload,master,no,SOC
295,heartbeater,https://github.com/octanner/heartbeater,master,no,SOC
296,hero-configurator,https://github.com/octanner/hero-configurator,main,no,SOC
297,hrisIntegration,https://github.com/octanner/hrisIntegration,master,no,SOC
298,http4s-common-lib,https://github.com/octanner/http4s-common-lib,master,no,SOC
299,http4s-template.g8,https://github.com/octanner/http4s-template.g8,master,no,SOC
300,hybris,https://github.com/octanner/hybris,develop-ccv2,yes,SOC
301,hybris-appreciatekit,https://github.com/octanner/hybris-appreciatekit,master,no,SOC
302,hybris-team,https://github.com/octanner/hybris-team,master,no,SOC
303,hyper-serializer,https://github.com/octanner/hyper-serializer,master,no,SOC
304,iAppreciate,https://github.com/octanner/iAppreciate,trunk,no,SOC
305,identity-load,https://github.com/octanner/identity-load,master,no,SOC
306,identity-to-marketing-cloud,https://github.com/octanner/identity-to-marketing-cloud,master,no,SOC
307,ifs-3d-sensor,https://github.com/octanner/ifs-3d-sensor,master,no,SOC
308,ignition,https://github.com/octanner/ignition,main,no,SOC
309,images,https://github.com/octanner/images,master,yes,SOC
310,import-map-deployer,https://github.com/octanner/import-map-deployer,main,no,SOC
311,individual-events,https://github.com/octanner/individual-events,master,no,SOC
312,influx-api,https://github.com/octanner/influx-api,master,no,SOC
313,informd,https://github.com/octanner/informd,master,no,SOC
314,initiatives-api,https://github.com/octanner/initiatives-api,master,yes,SOC
315,initiatives-api-graphql,https://github.com/octanner/initiatives-api-graphql,master,no,SOC
316,initiatives-ui,https://github.com/octanner/initiatives-ui,master,yes,SOC
317,InnovationAR,https://github.com/octanner/InnovationAR,master,no,SOC
318,insight,https://github.com/octanner/insight,master,no,SOC
319,insight-handler,https://github.com/octanner/insight-handler,master,no,SOC
320,insights-notebooks,https://github.com/octanner/insights-notebooks,main,no,SOC
321,integ-chrome-addin,https://github.com/octanner/integ-chrome-addin,master,yes,SOC
322,integ-edge-addin,https://github.com/octanner/integ-edge-addin,master,yes,SOC
323,integ-embed-addin,https://github.com/octanner/integ-embed-addin,master,no,SOC
324,integ-firefox-addin,https://github.com/octanner/integ-firefox-addin,master,yes,SOC
325,integ-jira-addin,https://github.com/octanner/integ-jira-addin,master,no,SOC
326,integ-sapsuccess-api,https://github.com/octanner/integ-sapsuccess-api,master,no,SOC
327,integ-slack-app,https://github.com/octanner/integ-slack-app,master,yes,SOC
328,integ-webex-addin,https://github.com/octanner/integ-webex-addin,master,no,SOC
329,integ-zoom-app,https://github.com/octanner/integ-zoom-app,master,no,SOC
330,integration-api,https://github.com/octanner/integration-api,master,no,SOC
331,integration_framework,https://github.com/octanner/integration_framework,master,no,SOC
332,integrations-api,https://github.com/octanner/integrations-api,master,no,SOC
333,integrations-safari-extension,https://github.com/octanner/integrations-safari-extension,master,yes,SOC
334,integrations-teams-bot,https://github.com/octanner/integrations-teams-bot,master,yes,SOC
335,ios-animation-example,https://github.com/octanner/ios-animation-example,master,no,SOC
336,iOS-ARKit-ImageRecognition,https://github.com/octanner/iOS-ARKit-ImageRecognition,master,no,SOC
337,iOS-ARKit-QuickLook,https://github.com/octanner/iOS-ARKit-QuickLook,master,no,SOC
338,ios-array-editor,https://github.com/octanner/ios-array-editor,master,no,SOC
339,ios-design-system,https://github.com/octanner/ios-design-system,master,no,SOC
340,ios-environment-switcher,https://github.com/octanner/ios-environment-switcher,master,no,SOC
341,ios-network-stack,https://github.com/octanner/ios-network-stack,master,no,SOC
342,ios-team,https://github.com/octanner/ios-team,master,no,SOC
343,ITDS-DigitalPlumbers,https://github.com/octanner/ITDS-DigitalPlumbers,main,no,SOC
344,jarvis,https://github.com/octanner/jarvis,main,no,SOC
345,java-guild-gui,https://github.com/octanner/java-guild-gui,master,no,SOC
346,jira-ws,https://github.com/octanner/jira-ws,master,no,SOC
347,kafka-connect-jdbc,https://github.com/octanner/kafka-connect-jdbc,master,no,SOC
348,kafka_connect_runner,https://github.com/octanner/kafka_connect_runner,master,no,SOC
349,kafkajs-avro,https://github.com/octanner/kafkajs-avro,main,no,SOC
350,kapacitor-alerts-api,https://github.com/octanner/kapacitor-alerts-api,master,no,SOC
351,kill-oracle,https://github.com/octanner/kill-oracle,master,no,SOC
352,kiseru,https://github.com/octanner/kiseru,master,no,SOC
353,kit-routing,https://github.com/octanner/kit-routing,master,no,SOC
354,kue-example,https://github.com/octanner/kue-example,master,no,SOC
355,labsbot,https://github.com/octanner/labsbot,master,no,SOC
356,landoop-connect-ui,https://github.com/octanner/landoop-connect-ui,master,no,SOC
357,langs,https://github.com/octanner/langs,master,no,SOC
358,leader_dashboard_poc,https://github.com/octanner/leader_dashboard_poc,master,no,SOC
359,legacy-yearbook-consumer,https://github.com/octanner/legacy-yearbook-consumer,master,no,SOC
360,LegacyUserMapping,https://github.com/octanner/LegacyUserMapping,master,no,SOC
361,lfg-appreciatekit,https://github.com/octanner/lfg-appreciatekit,master,no,SOC
362,LibLaserCut,https://github.com/octanner/LibLaserCut,develop,no,SOC
363,lids-mfg-history,https://github.com/octanner/lids-mfg-history,master,no,SOC
364,lids-workstation-gui,https://github.com/octanner/lids-workstation-gui,master,no,SOC
365,LidsStationCopy,https://github.com/octanner/LidsStationCopy,master,no,SOC
366,lighthouse-dashboard,https://github.com/octanner/lighthouse-dashboard,master,no,SOC
367,lockpick,https://github.com/octanner/lockpick,master,no,SOC
368,logging.java,https://github.com/octanner/logging.java,master,no,SOC
369,logging.scala,https://github.com/octanner/logging.scala,master,no,SOC
370,login,https://github.com/octanner/login,dev,no,SOC
371,logtester,https://github.com/octanner/logtester,master,no,SOC
372,manager-dashboard,https://github.com/octanner/manager-dashboard,master,no,SOC
373,marketing-cloud-adapter,https://github.com/octanner/marketing-cloud-adapter,main,yes,SOC
